sub,sov,cond,trial_amount
04,N2,T4079_1,56
08,N2,T4079_1,67
09,N2,T4079_1,80
10,N2,T4079_1,83
11,N2,T4079_1,51
13,N2,T4079_1,90
14,N2,T4079_1,30
15,N2,T4079_1,93
16,N2,T4079_1,90
17,N2,T4079_1,53
19,N2,T4079_1,102
20,N2,T4079_1,83
21,N2,T4079_1,91
23,N2,T4079_1,56
24,N2,T4079_1,108
25,N2,T4079_1,89
26,N2,T4079_1,27
27,N2,T4079_1,37
28,N2,T4079_1,102
29,N2,T4079_1,83
30,N2,T4079_1,122
31,N2,T4079_1,89
32,N2,T4079_1,61
33,N2,T4079_1,114
34,N2,T4079_1,60
35,N2,T4079_1,60
36,N2,T4079_1,40
37,N2,T4079_1,63
38,N2,T4079_1,78
02,N2,T5302_1,42
03,N2,T5302_1,75
04,N2,T5302_1,62
08,N2,T5302_1,69
09,N2,T5302_1,83
10,N2,T5302_1,74
11,N2,T5302_1,51
13,N2,T5302_1,87
14,N2,T5302_1,26
15,N2,T5302_1,95
16,N2,T5302_1,90
17,N2,T5302_1,50
19,N2,T5302_1,100
20,N2,T5302_1,82
21,N2,T5302_1,99
23,N2,T5302_1,60
24,N2,T5302_1,103
25,N2,T5302_1,90
26,N2,T5302_1,33
27,N2,T5302_1,41
28,N2,T5302_1,97
29,N2,T5302_1,70
30,N2,T5302_1,121
31,N2,T5302_1,94
32,N2,T5302_1,69
33,N2,T5302_1,122
34,N2,T5302_1,65
35,N2,T5302_1,61
36,N2,T5302_1,56
37,N2,T5302_1,56
38,N2,T5302_1,88
02,N2,T650_2,44
03,N2,T650_2,67
04,N2,T650_2,63
08,N2,T650_2,65
09,N2,T650_2,82
10,N2,T650_2,86
11,N2,T650_2,60
13,N2,T650_2,87
14,N2,T650_2,25
15,N2,T650_2,100
16,N2,T650_2,93
17,N2,T650_2,54
19,N2,T650_2,97
20,N2,T650_2,82
21,N2,T650_2,90
23,N2,T650_2,63
24,N2,T650_2,105
25,N2,T650_2,82
26,N2,T650_2,27
27,N2,T650_2,33
28,N2,T650_2,100
29,N2,T650_2,79
30,N2,T650_2,114
31,N2,T650_2,88
32,N2,T650_2,64
